Borough Name,Offence Group,Count
Lewisham,VIOLENCE AGAINST THE PERSON,8268
Sutton,VEHICLE OFFENCES,1933
Lambeth,BURGLARY,2199
Merton,DRUG OFFENCES,652
Merton,ROBBERY,326
Kensington and Chelsea,ARSON AND CRIMINAL DAMAGE,981
Merton,VEHICLE OFFENCES,1538
Kingston upon Thames,BURGLARY,726
Tower Hamlets,DRUG OFFENCES,2510
Newham,ROBBERY,1070
Lewisham,ARSON AND CRIMINAL DAMAGE,2155
Kingston upon Thames,DRUG OFFENCES,911
Kingston upon Thames,POSSESSION OF WEAPONS,87
Newham,THEFT,8212
Lewisham,BURGLARY,2038
Lewisham,PUBLIC ORDER OFFENCES,2146
Tower Hamlets,THEFT,7184
Lewisham,SEXUAL OFFENCES,757
Tower Hamlets,VEHICLE OFFENCES,3334
Redbridge,ROBBERY,616
Redbridge,VEHICLE OFFENCES,3855
Waltham Forest,DRUG OFFENCES,1468
Lewisham,POSSESSION OF WEAPONS,284
Waltham Forest,SEXUAL OFFENCES,576
Merton,BURGLARY,923
Lewisham,THEFT,4770
Waltham Forest,THEFT,4453
Merton,POSSESSION OF WEAPONS,97
Wandsworth,BURGLARY,2219
Wandsworth,MISCELLANEOUS CRIMES AGAINST SOCIETY,332
Lambeth,MISCELLANEOUS CRIMES AGAINST SOCIETY,410
Wandsworth,THEFT,5712
Richmond upon Thames,VEHICLE OFFENCES,1717
Newham,BURGLARY,1588
Southwark,BURGLARY,2361
Southwark,MISCELLANEOUS CRIMES AGAINST SOCIETY,360
Newham,VEHICLE OFFENCES,3750
Southwark,ROBBERY,1074
Lambeth,VIOLENCE AGAINST THE PERSON,9294
Wandsworth,VIOLENCE AGAINST THE PERSON,7420
Westminster,SEXUAL OFFENCES,1218
Sutton,BURGLARY,899
Sutton,SEXUAL OFFENCES,386
Westminster,THEFT,20982
Newham,VIOLENCE AGAINST THE PERSON,9508
Westminster,VIOLENCE AGAINST THE PERSON,9833
Redbridge,MISCELLANEOUS CRIMES AGAINST SOCIETY,336
Tower Hamlets,ARSON AND CRIMINAL DAMAGE,2100
Newham,DRUG OFFENCES,2153
Redbridge,POSSESSION OF WEAPONS,162
Tower Hamlets,MISCELLANEOUS CRIMES AGAINST SOCIETY,434
Redbridge,PUBLIC ORDER OFFENCES,1527
Newham,MISCELLANEOUS CRIMES AGAINST SOCIETY,512
Redbridge,SEXUAL OFFENCES,733
Redbridge,THEFT,4801
Lewisham,MISCELLANEOUS CRIMES AGAINST SOCIETY,383
Tower Hamlets,PUBLIC ORDER OFFENCES,2355
Redbridge,DRUG OFFENCES,1338
Southwark,ARSON AND CRIMINAL DAMAGE,1864
Merton,PUBLIC ORDER OFFENCES,1036
Waltham Forest,ARSON AND CRIMINAL DAMAGE,1518
Richmond upon Thames,SEXUAL OFFENCES,327
Sutton,ARSON AND CRIMINAL DAMAGE,1051
Waltham Forest,MISCELLANEOUS CRIMES AGAINST SOCIETY,300
Waltham Forest,PUBLIC ORDER OFFENCES,1541
Southwark,POSSESSION OF WEAPONS,299
Sutton,POSSESSION OF WEAPONS,85
Wandsworth,POSSESSION OF WEAPONS,157
Wandsworth,ROBBERY,587
Richmond upon Thames,ARSON AND CRIMINAL DAMAGE,917
Westminster,ARSON AND CRIMINAL DAMAGE,2197
Sutton,VIOLENCE AGAINST THE PERSON,4394
Tower Hamlets,POSSESSION OF WEAPONS,241
Tower Hamlets,SEXUAL OFFENCES,878
Tower Hamlets,ROBBERY,966
Richmond upon Thames,VIOLENCE AGAINST THE PERSON,3007
Waltham Forest,BURGLARY,1284
Waltham Forest,POSSESSION OF WEAPONS,190
Tower Hamlets,VIOLENCE AGAINST THE PERSON,9151
Southwark,SEXUAL OFFENCES,867
Wandsworth,ARSON AND CRIMINAL DAMAGE,1650
Wandsworth,PUBLIC ORDER OFFENCES,1871
Wandsworth,SEXUAL OFFENCES,802
Wandsworth,VEHICLE OFFENCES,3145
Southwark,VIOLENCE AGAINST THE PERSON,8268
Westminster,BURGLARY,2268
Waltham Forest,ROBBERY,727
Merton,SEXUAL OFFENCES,396
Waltham Forest,VEHICLE OFFENCES,3372
Tower Hamlets,BURGLARY,2404
Westminster,DRUG OFFENCES,2902
Waltham Forest,VIOLENCE AGAINST THE PERSON,6672
Westminster,POSSESSION OF WEAPONS,324
Westminster,PUBLIC ORDER OFFENCES,3185
Westminster,VEHICLE OFFENCES,3393
Westminster,MISCELLANEOUS CRIMES AGAINST SOCIETY,343
Wandsworth,DRUG OFFENCES,1081
Westminster,ROBBERY,2127
Richmond upon Thames,DRUG OFFENCES,412
Richmond upon Thames,POSSESSION OF WEAPONS,52
Sutton,DRUG OFFENCES,600
Merton,FRAUD AND FORGERY,1
