Borough Name,Offence Group,Count,Population,TotalBoroughCrime,Percentage,Rate,Type
Havering,Public Order Offences,1260,262052,16813,7.494200916,4.808206005,Peer
Havering,Arson and Criminal Damage,1237,262052,16813,7.35740201,4.720437165,Peer
Havering,Theft,3250,262052,16813,19.33028014,12.40211866,Peer
Havering,Burglary,1047,262052,16813,6.227324094,3.995390228,Peer
Havering,Robbery,330,262052,16813,1.962766907,1.259292049,Peer
Havering,Sexual Offences,592,262052,16813,3.521084875,2.259093615,Peer
Havering,Vehicle Offences,2249,262052,16813,13.37655386,8.582266115,Peer
Havering,Violence Against The Person,5507,262052,16813,32.75441623,21.01491307,Peer
Hillingdon,Public Order Offences,1926,305909,24438,7.881168672,6.295989984,Peer
Hillingdon,Arson and Criminal Damage,1655,305909,24438,6.772239954,5.41010562,Peer
Hillingdon,Theft,4542,305909,24438,18.58580899,14.8475527,Peer
Hillingdon,Vehicle Offences,3591,305909,24438,14.6943285,11.73878506,Peer
Hounslow,Violence Against The Person,7956,288181,23132,34.39391319,27.60764936,Peer
Islington,Arson and Criminal Damage,1486,216589,24334,6.106682009,6.860920915,Peer
Islington,Public Order Offences,1910,216589,24334,7.849100025,8.818545725,Peer
Islington,Robbery,1002,216589,24334,4.117695406,4.626273726,Peer
Islington,Sexual Offences,578,216589,24334,2.37527739,2.668648916,Peer
Kensington and Chelsea,Drug Offences,1080,143375,18125,5.95862069,7.532693984,Peer
Kensington and Chelsea,Miscellaneous Crimes Against Society,194,143375,18125,1.070344828,1.353095031,Peer
Kensington and Chelsea,Robbery,458,143375,18125,2.526896552,3.194420227,Peer
Kensington and Chelsea,Theft,5595,143375,18125,30.86896552,39.02353967,Peer
Kingston upon Thames,Miscellaneous Crimes Against Society,150,168063,10983,1.365747064,0.892522447,Peer
Kingston upon Thames,Public Order Offences,788,168063,10983,7.174724574,4.688717921,Peer
Kingston upon Thames,Theft,2720,168063,10983,24.76554675,16.18440704,Peer
Haringey,Miscellaneous Crimes Against Society,302,264238,28274,1.06811912,1.142909044,Peer
Haringey,Public Order Offences,1995,264238,28274,7.055952465,7.550011732,Peer
Harrow,Burglary,1077,261203,14695,7.329023477,4.123229825,Peer
Lambeth,Arson and Criminal Damage,2072,317654,31224,6.635921086,6.522820427,Peer
Lambeth,Public Order Offences,2290,317654,31224,7.334101973,7.209101727,Peer
Lambeth,Robbery,1197,317654,31224,3.833589547,3.76825099,Peer
Harrow,Robbery,298,261203,14695,2.027900646,1.140875105,Peer
Lambeth,Theft,7291,317654,31224,23.35062772,22.95264659,Peer
Lambeth,Vehicle Offences,2690,317654,31224,8.61516782,8.46833347,Peer
Harrow,Miscellaneous Crimes Against Society,211,261203,14695,1.435862538,0.807800829,Peer
Harrow,Theft,2618,261203,14695,17.81558353,10.02285579,Peer
Harrow,Sexual Offences,426,261203,14695,2.898945219,1.630915418,Peer
Hammersmith and Fulham,Miscellaneous Crimes Against Society,229,183157,19282,1.187636137,1.250293464,Peer
Hillingdon,Violence Against The Person,7717,305909,24438,31.57787053,25.22645623,Peer
Harrow,Vehicle Offences,2488,261203,14695,16.93092889,9.525158593,Peer
Harrow,Possession Of Weapons,86,261203,14695,0.585233072,0.329245836,Peer
Lewisham,Drug Offences,1485,300553,26459,5.612457009,4.940892289,Peer
Harrow,Violence Against The Person,4641,261203,14695,31.58217081,17.7677898,Peer
Hounslow,Burglary,1438,288181,23132,6.216496628,4.98991953,Peer
Lewisham,Vehicle Offences,3515,300553,26459,13.28470464,11.69510868,Peer
Hounslow,Drug Offences,1323,288181,23132,5.719349818,4.590864769,Peer
Havering,Drug Offences,942,262052,16813,5.602807351,3.594706394,Peer
Merton,Arson and Criminal Damage,973,215186,12864,7.563743781,4.521669625,Peer
Hounslow,Miscellaneous Crimes Against Society,382,288181,23132,1.651392011,1.325555814,Peer
Hounslow,Possession Of Weapons,153,288181,23132,0.661421408,0.530916334,Peer
Hounslow,Public Order Offences,1844,288181,23132,7.971641017,6.398756337,Peer
Merton,Miscellaneous Crimes Against Society,224,215186,12864,1.741293532,1.040959914,Peer
Hillingdon,Burglary,1292,305909,24438,5.286848351,4.223478224,Peer
Haringey,Robbery,1170,264238,28274,4.138077386,4.427826429,Peer
Merton,Theft,2488,215186,12864,19.34079602,11.56209047,Peer
Havering,Miscellaneous Crimes Against Society,267,262052,16813,1.588056861,1.018881749,Peer
Kensington and Chelsea,Possession Of Weapons,115,143375,18125,0.634482759,0.802092415,Peer
Merton,Violence Against The Person,4210,215186,12864,32.72699005,19.56446981,Peer
Kensington and Chelsea,Sexual Offences,420,143375,18125,2.317241379,2.929380994,Peer
Hillingdon,Drug Offences,1520,305909,24438,6.219821589,4.96879791,Peer
Hillingdon,Robbery,405,305909,24438,1.657255095,1.323923127,Peer
Hillingdon,Miscellaneous Crimes Against Society,959,305909,24438,3.924216384,3.134919208,Peer
Hillingdon,Sexual Offences,648,305909,24438,2.651608151,2.118277004,Peer
Kensington and Chelsea,Vehicle Offences,2307,143375,18125,12.72827586,16.09067132,Peer
Hounslow,Arson and Criminal Damage,1643,288181,23132,7.102714854,5.701278016,Peer
Newham,Arson and Criminal Damage,2068,351036,32193,6.423756717,5.891133673,Peer
Kingston upon Thames,Arson and Criminal Damage,829,168063,10983,7.548028772,4.932674057,Peer
Kingston upon Thames,Robbery,148,168063,10983,1.347537103,0.880622148,Peer
Kingston upon Thames,Sexual Offences,346,168063,10983,3.150323227,2.058751778,Peer
Newham,Possession Of Weapons,264,351036,32193,0.820054049,0.752059618,Peer
Newham,Public Order Offences,2123,351036,32193,6.594601311,6.04781276,Peer
Newham,Sexual Offences,945,351036,32193,2.935420744,2.692031587,Peer
Kingston upon Thames,Vehicle Offences,1020,168063,10983,9.287080033,6.069152639,Peer
Redbridge,Arson and Criminal Damage,1528,310260,23891,6.395713867,4.924901695,Peer
Hounslow,Theft,4327,288181,23132,18.70568909,15.01486913,Peer
Redbridge,Burglary,1489,310260,23891,6.232472479,4.79920067,Peer
Hounslow,Robbery,376,288181,23132,1.625453917,1.304735565,Peer
Kingston upon Thames,Violence Against The Person,3258,168063,10983,29.66402622,19.38558755,Peer
Hounslow,Vehicle Offences,3048,288181,23132,13.17655196,10.57668618,Peer
Lambeth,Drug Offences,2285,317654,31224,7.31808865,7.19336133,Peer
Islington,Burglary,1776,216589,24334,7.29843018,8.199862412,Peer
Hounslow,Sexual Offences,642,288181,23132,2.775376102,2.227766577,Peer
Lambeth,Possession Of Weapons,399,317654,31224,1.277863182,1.256083663,Peer
Lambeth,Sexual Offences,1097,317654,31224,3.513323085,3.453443054,Peer
Redbridge,Violence Against The Person,7506,310260,23891,31.41768867,24.19261265,Peer
Richmond upon Thames,Burglary,1018,195278,10980,9.27140255,5.213080839,Peer
Islington,Drug Offences,1162,216589,24334,4.775211638,5.365000069,Peer
Richmond upon Thames,Miscellaneous Crimes Against Society,126,195278,10980,1.147540984,0.645233974,Peer
Richmond upon Thames,Public Order Offences,764,195278,10980,6.958105647,3.912371081,Peer
Richmond upon Thames,Robbery,192,195278,10980,1.74863388,0.983213675,Peer
Islington,Miscellaneous Crimes Against Society,272,216589,24334,1.117777595,1.255834784,Peer
Hillingdon,Possession Of Weapons,183,305909,24438,0.748833783,0.598217117,Peer
Richmond upon Thames,Theft,2448,195278,10980,22.29508197,12.53597435,Peer
Islington,Theft,7199,216589,24334,29.58412098,33.23806842,Peer
Southwark,Drug Offences,2196,307637,31071,7.067683692,7.138283106,Peer
Lewisham,Robbery,658,300553,26459,2.486866473,2.189297728,Peer
Islington,Vehicle Offences,2261,216589,24334,9.29152626,10.43912664,Peer
Kensington and Chelsea,Burglary,1371,143375,18125,7.564137931,9.56233653,Peer
Southwark,Public Order Offences,2095,307637,31071,6.742621737,6.809974093,Peer
Islington,Possession Of Weapons,174,216589,24334,0.715048903,0.803364898,Peer
Southwark,Theft,8887,307637,31071,28.60223359,28.88794261,Peer
Kensington and Chelsea,Public Order Offences,1348,143375,18125,7.437241379,9.401918047,Peer
Islington,Violence Against The Person,6514,216589,24334,26.76912961,30.07539626,Peer
